"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000000003",708.602169691234,-0.381253887429337,0.100654430181805,-3.78775069056281,0.000152017272514036,0.00128292609656108,"TSPAN6"
"ENSG00000001036",1282.10638546592,-0.241071141809466,0.0887206434816781,-2.71719334248574,0.00658381349638,0.0327699313750759,"FUCA2"
"ENSG00000001167",369.342807845239,-0.500364060039386,0.120879930504615,-4.13934768121232,3.48294760750446e-05,0.000342179661897576,"NFYA"
"ENSG00000001629",1779.82871935893,-0.226673505049404,0.0806196259312943,-2.8116417364995,0.00492893693421337,0.0258478630695127,"ANKIB1"
"ENSG00000003096",377.977300973334,-0.940978768765568,0.143800821790655,-6.54362580858853,6.00449264044174e-11,1.51313214539132e-09,"KLHL13"
"ENSG00000003137",104.516320058985,-0.896585705550636,0.292592645760008,-3.06427970266224,0.00218194806137818,0.0129947584734681,"CYP26B1"
"ENSG00000004487",1237.79987702344,-0.29950906902472,0.0876460188553674,-3.41725811321752,0.000632552767857659,0.00451379634505319,"KDM1A"
"ENSG00000004846",17.9991680687101,-1.69783433138105,0.557865845460594,-3.04344556168205,0.00233885753676417,0.0137942831742772,"ABCB5"
"ENSG00000004866",412.129049598094,-0.56210817100458,0.136173863090304,-4.12787122468441,3.66137049692235e-05,0.000358925862968155,"ST7"
"ENSG00000004975",991.984168983081,-0.320057859306369,0.0975310333105552,-3.2816002091073,0.00103219840059026,0.00688310539668218,"DVL2"
"ENSG00000005471",33.6639882396994,-1.12005274549031,0.357469264914866,-3.13328404823016,0.00172862067733896,0.0106265054125873,"ABCB4"
"ENSG00000006025",160.284813182945,-0.949124314560472,0.179279597840016,-5.29410109123206,1.19603260373739e-07,1.93621881888053e-06,"OSBPL7"
"ENSG00000006062",196.878532478252,-0.698323761286279,0.196540025500327,-3.55308675425565,0.00038073887969309,0.00288848553023583,"MAP3K14"
"ENSG00000006114",995.873717984987,-0.513262885638447,0.0957605319494081,-5.35985833818897,8.32872355406382e-08,1.3792917371059e-06,"SYNRG"
"ENSG00000006118",433.935954113551,-0.502497123496806,0.119537115212022,-4.20369123519109,2.62597092636685e-05,0.000267466049470197,"TMEM132A"
"ENSG00000006283",62.9602514242751,-1.46690775413302,0.286728907409819,-5.11600929039354,3.12067696012389e-07,4.68179495982616e-06,"CACNA1G"
"ENSG00000006451",1095.51669885864,-0.557710989487116,0.117393359601873,-4.75078821645905,2.02625262920047e-06,2.60406703801242e-05,"RALA"
"ENSG00000006576",1070.42524442213,-0.430190376639784,0.0967607019227126,-4.4459203797777,8.75163600461641e-06,9.95498595525116e-05,"PHTF2"
"ENSG00000006638",65.7531749722519,-0.64434796225662,0.24239702647072,-2.65823377307168,0.00785513847945732,0.0379549169007407,"TBXA2R"
"ENSG00000007237",427.013218754781,-1.40485059648323,0.190099443921076,-7.39008261942355,1.46737607897363e-13,5.17400825654537e-12,"GAS7"
"ENSG00000007944",339.643688264593,-0.497639725718256,0.124079689184115,-4.01064613387156,6.05528080067811e-05,0.000564428605621408,"MYLIP"
"ENSG00000008441",10802.2649474509,-0.326406135241012,0.0695421820774386,-4.69364241227781,2.68383000656428e-06,3.3698431399495e-05,"NFIX"
"ENSG00000008513",1568.49022726857,-0.595138113640765,0.0970242789084164,-6.13390916517432,8.57454892828618e-10,1.91682658300075e-08,"ST3GAL1"
"ENSG00000008517",182.662530647809,-0.748972353967078,0.192437574579764,-3.8920276126045,9.94099274977058e-05,0.000878885217690708,"IL32"
"ENSG00000010322",2566.22703092151,-0.264449337165529,0.0814159962232815,-3.2481250544461,0.00116168201884252,0.00758651200272,"NISCH"
"ENSG00000010818",1411.20251251096,-0.355743157782603,0.0929616756080518,-3.82677222044168,0.000129834553470634,0.00111292054445,"HIVEP2"
"ENSG00000011028",16641.6096256775,-0.220448070598935,0.0787598066048059,-2.7989920252735,0.00512624034780238,0.0267104102332861,"MRC2"
"ENSG00000011347",148.300234191735,-0.913738847097436,0.198705554034574,-4.59845650282351,4.25632554229131e-06,5.16434165798012e-05,"SYT7"
